studentid,sex,age,bis1,bis2,bis3,bis4,bis5,bis6,bis7,bas1,bas2,bas3,bas4,bas5,bas6,bas7,bas8,bas9,bas10,bas11,bas12,bas13,a01_t1,a02_t1,a03_t1,a04_t1,a05_t1,a06_t1,a07_t1,a08_t1,a09_t1,a10_t1,a11_t1,a12_t1,a13_t1,a14_t1,a15_t1,a16_t1,a17_t1,a18_t1,a19_t1,a20_t1,d01_t1,d02_t1,d03_t1,d04_t1,d05_t1,d06_t1,d07_t1,d08_t1,d09_t1,d10_t1,d11_t1,d12_t1,d13_t1,d14_t1,d15_t1,d16_t1,d17_t1,d18_t1,d19_t1,d20_t1,a01_t2,a02_t2,a03_t2,a04_t2,a05_t2,a06_t2,a07_t2,a08_t2,a09_t2,a10_t2,a11_t2,a12_t2,a13_t2,a14_t2,a15_t2,a16_t2,a17_t2,a18_t2,a19_t2,a20_t2,d01_t2,d02_t2,d03_t2,d04_t2,d05_t2,d06_t2,d07_t2,d08_t2,d09_t2,d10_t2,d11_t2,d12_t2,d13_t2,d14_t2,d15_t2,d16_t2,d17_t2,d18_t2,d19_t2,d20_t2
159,0,NA,2,3,3,3,3,4,2,3,4,4,3,3,4,4,3,4,3,4,4,4,1,1,1,1,3,3,1,1,1,1,2,2,1,4,3,1,1,1,1,2,3,4,1,2,1,1,3,3,2,4,1,2,2,2,1,3,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,1,3,3,1,1,1,1,2,4,2,3,2,2,3,3,3,2,2,4,2,1,1,1,3,2,1,1,3,2,2,2,1,4,2,3,1,2
161,1,20,3,3,3,2,4,3,3,3,4,3,3,2,4,3,3,2,4,2,3,4,3,3,1,3,3,2,2,2,1,2,4,2,2,2,2,1,1,3,3,2,2,4,1,3,2,2,2,1,1,3,2,2,2,2,1,2,2,3,1,2,2,2,1,1,2,2,1,1,1,2,2,2,1,2,2,1,2,3,2,2,1,4,1,4,2,1,1,1,1,3,2,2,2,1,1,2,2,2,1,2
162,0,NA,3,4,4,2,4,2,3,4,4,4,4,4,3,3,4,3,3,4,4,3,3,3,1,2,3,4,1,1,2,4,4,3,1,3,3,1,2,4,2,4,3,4,2,2,4,1,3,1,1,4,4,1,2,3,1,3,2,3,1,3,1,3,1,1,4,3,1,1,1,3,4,1,1,4,4,1,1,3,1,4,2,4,3,2,3,2,2,1,1,4,4,2,1,3,1,4,4,3,2,3
163,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,0,19,2,3,3,3,3,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,4,4,2,4,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,3,4,3,3,4,3,4,4,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,1,NA,2,4,4,4,4,1,4,2,4,3,2,1,2,3,3,3,2,3,4,4,2,2,1,2,4,3,3,1,3,4,3,3,1,4,4,1,1,4,3,4,1,4,1,3,2,3,1,1,3,4,4,4,1,4,2,4,4,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,1,21,3,4,4,4,4,2,4,4,4,4,4,4,4,3,4,4,4,3,4,4,2,2,3,2,4,2,3,2,3,3,2,2,1,3,2,1,4,3,2,2,3,3,3,2,3,1,1,1,1,4,4,3,2,1,2,4,2,1,1,3,3,3,2,2,4,4,3,3,3,4,3,3,1,4,4,2,4,4,3,4,3,4,3,2,3,1,1,1,1,3,4,3,3,4,3,4,3,2,2,2
167,1,20,1,4,4,4,4,1,4,3,4,3,4,3,4,4,3,3,4,4,4,4,1,1,1,1,1,3,3,2,1,1,1,1,1,4,2,1,1,1,1,2,1,4,1,1,1,3,1,1,1,3,1,2,1,2,1,4,4,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,3,2,1,1,2,1,1,3,1,1,1
168,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,1,22,1,4,4,4,3,1,4,3,4,4,2,4,4,4,3,4,4,4,4,4,2,2,3,3,3,4,1,2,4,3,4,4,2,2,3,1,4,4,2,3,2,4,1,1,1,1,3,1,1,4,4,2,2,2,1,4,1,3,1,2,3,3,3,2,3,3,3,3,3,3,2,2,2,3,3,2,3,3,2,2,2,4,3,1,1,1,2,1,1,2,3,2,1,1,2,4,2,2,1,3
170,0,NA,2,4,4,4,4,1,4,4,4,3,4,3,4,4,4,3,3,4,2,4,2,4,4,2,4,4,1,1,3,3,4,4,1,3,3,1,4,3,2,3,2,4,1,2,3,2,4,1,1,4,4,4,4,4,2,4,3,4,2,3,1,1,1,2,1,4,1,1,1,2,2,2,1,4,3,1,3,2,3,2,3,4,2,1,1,2,1,1,1,4,3,3,2,4,2,3,3,3,1,3
171,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,1,21,2,3,3,NA,1,2,3,4,4,4,4,4,4,4,4,4,2,4,4,4,2,3,1,1,4,1,4,4,2,4,2,3,2,4,4,1,2,4,2,4,2,3,2,3,4,2,3,2,3,3,3,3,3,1,4,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,1,20,2,4,4,3,3,3,3,2,4,3,3,2,3,3,3,3,4,2,2,3,2,2,1,1,3,3,1,1,1,3,3,1,1,3,3,1,1,1,1,3,1,3,1,4,2,2,1,1,2,3,2,3,1,3,1,2,2,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,1,19,3,4,4,3,3,2,4,2,4,2,4,2,3,2,2,3,3,2,2,2,2,1,2,2,2,3,3,2,3,2,1,2,2,3,2,1,2,2,3,2,3,3,3,2,1,1,2,1,1,2,2,2,2,2,2,3,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,0,20,4,4,3,4,4,1,1,4,4,4,4,4,4,4,4,4,2,3,4,2,3,2,1,1,3,3,1,1,1,1,1,1,1,4,3,1,1,3,1,3,2,4,1,3,3,3,1,1,1,3,4,3,1,3,2,2,4,3,1,1,3,3,2,1,3,3,1,1,2,4,3,1,1,4,4,1,1,3,2,3,2,4,2,3,3,2,1,1,1,2,3,3,2,3,2,3,3,4,1,2
176,1,21,3,4,3,2,2,2,3,1,4,4,4,2,4,3,4,4,3,4,2,3,2,2,2,2,3,2,1,1,1,2,3,2,1,4,3,1,1,2,2,3,3,3,3,1,1,1,3,1,3,3,3,3,3,3,3,1,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,1,20,4,2,3,3,3,3,1,4,4,4,4,4,3,4,4,4,3,4,4,4,2,2,1,1,3,1,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,4,2,1,1,1,2,1,1,2,3,2,1,1,1,2,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,1,NA,3,3,3,3,3,2,3,3,4,2,2,2,4,2,1,4,3,3,3,4,2,1,1,1,4,3,1,1,1,1,3,2,2,3,2,1,2,1,1,2,2,3,1,2,1,1,1,1,1,3,3,3,3,2,3,4,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,1,NA,2,2,2,1,3,2,2,3,4,3,3,4,3,3,2,2,4,3,4,3,1,2,2,2,2,2,1,1,1,1,3,1,1,3,3,1,1,1,2,2,1,4,1,4,1,1,1,1,1,2,2,1,2,1,2,1,2,2,1,3,1,1,1,1,2,1,1,1,1,1,2,2,1,3,3,1,1,1,1,2,2,4,1,1,2,1,3,1,1,2,2,1,1,2,2,1,1,2,1,2
181,1,NA,4,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,4,1,1,4,4,1,1,1,1,4,1,4,1,1,1,4,4,1,1,1,4,1,4,4,1,1,4,3,4,1,2,2,3,4,3,4,1,1,1,2,4,1,1,1,1,1,4,2,4,1,2,4,1,1,1,1,1,1,1,1,3,3,1,4,1,1,4,3,2,4
182,1,18,3,3,3,2,3,2,3,3,4,4,4,3,3,2,3,3,4,4,4,3,2,2,1,1,3,2,1,1,1,3,3,2,1,3,3,1,2,3,2,3,1,3,1,2,1,1,3,1,1,1,2,2,2,3,2,3,3,2,1,3,2,3,3,1,2,2,1,1,1,3,3,3,1,3,2,1,2,3,2,2,2,2,2,1,1,1,2,1,1,1,2,2,2,2,2,3,2,2,1,2
183,1,NA,2,4,3,3,4,2,3,2,4,4,4,2,4,3,4,4,4,4,3,2,4,4,3,4,4,2,4,4,3,2,4,4,1,4,3,2,3,3,4,4,4,4,1,2,3,1,1,1,2,4,4,1,1,1,4,2,2,4,1,4,2,2,1,4,3,2,4,3,1,3,2,4,1,4,3,1,1,2,3,2,3,3,1,1,1,1,3,1,1,1,4,4,2,1,3,2,4,4,1,3
184,0,19,1,4,4,4,4,3,4,3,4,3,4,3,3,3,3,2,3,2,3,3,1,2,1,2,2,4,1,2,2,4,2,2,1,3,2,1,3,3,2,3,3,4,2,2,1,2,1,1,2,3,3,2,1,3,2,4,4,3,1,3,3,3,2,2,4,4,1,2,2,3,3,3,2,3,3,1,3,3,3,3,3,3,3,2,1,2,1,1,2,2,3,2,1,3,2,4,4,3,1,3
185,1,19,1,3,4,4,4,1,4,2,4,3,4,3,2,4,3,1,4,3,1,4,1,1,1,1,1,2,1,1,1,1,3,1,1,3,3,1,1,1,1,2,2,2,2,2,1,1,1,2,2,4,2,1,1,1,1,3,1,1,1,2,3,3,1,4,2,4,1,1,1,1,3,4,2,4,3,2,4,1,3,1,3,1,1,1,1,2,1,2,1,4,2,1,2,1,1,2,2,3,1,4
186,1,NA,1,4,4,3,3,2,3,3,4,3,3,3,4,3,3,3,3,3,2,2,3,3,1,2,3,4,1,1,1,3,4,2,1,4,4,1,2,4,2,4,3,4,2,1,1,1,1,1,3,4,4,3,2,4,3,4,4,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,1,20,1,4,4,4,4,1,3,4,4,3,4,4,4,4,4,3,4,2,3,4,3,3,3,3,3,3,2,3,3,3,4,1,2,3,2,3,1,1,2,2,1,4,1,2,1,2,1,1,1,2,3,4,2,4,2,2,4,3,1,3,3,3,3,3,3,3,3,3,3,4,3,2,2,3,3,2,2,3,2,2,1,2,1,1,1,1,1,1,1,2,4,3,2,2,4,4,4,4,1,4
189,0,19,3,2,2,2,2,2,2,4,3,3,3,3,3,3,3,3,2,2,3,3,2,2,2,2,2,3,2,1,1,3,2,2,2,3,2,1,1,3,1,3,1,2,1,1,3,2,1,1,1,2,3,3,1,3,1,3,3,3,1,3,2,2,1,1,3,3,1,1,1,2,2,2,2,3,3,1,1,3,1,2,1,1,2,1,2,2,2,1,1,1,3,2,1,2,1,3,3,2,1,2
190,1,18,1,2,3,3,1,2,3,2,2,3,NA,3,2,1,3,2,2,2,3,3,2,3,3,2,2,3,3,2,2,3,3,3,2,2,3,3,3,2,2,2,2,2,2,3,3,2,2,1,1,3,3,2,2,2,2,4,4,3,1,4,3,3,3,3,3,2,2,1,2,3,3,3,2,2,2,3,2,2,2,2,2,3,3,3,3,2,2,1,1,2,2,3,2,2,2,3,3,2,1,3
191,1,19,3,3,3,3,3,2,3,3,4,4,4,3,3,3,3,3,3,3,2,3,2,2,2,1,3,3,1,1,1,3,4,2,1,4,4,1,1,4,1,4,1,4,1,1,1,1,2,1,1,3,3,3,2,3,3,4,3,3,1,3,3,3,1,1,3,3,1,1,1,3,4,1,1,3,3,1,1,3,1,3,2,4,1,3,1,1,1,1,2,3,3,3,2,3,3,2,3,3,1,3
192,1,19,2,2,3,3,2,3,4,2,4,4,4,2,3,2,3,3,4,3,3,3,2,2,1,2,3,1,1,2,1,3,3,2,1,3,3,2,2,3,2,3,2,3,1,3,2,1,1,2,2,2,3,3,2,3,2,3,2,3,1,4,3,3,1,2,3,3,1,1,1,3,3,1,1,3,3,1,1,3,1,3,2,4,2,2,1,1,1,2,2,2,3,3,2,3,2,4,3,4,1,4
193,0,19,2,1,4,4,4,2,4,2,3,4,3,3,3,3,3,3,4,4,3,2,2,2,2,4,2,4,2,2,2,2,4,3,1,3,3,1,2,2,2,2,3,4,3,1,1,2,1,4,1,4,2,2,1,4,2,4,4,4,1,3,2,2,1,2,2,4,1,1,1,2,3,2,1,3,2,1,1,2,2,2,3,4,2,1,2,3,1,3,1,3,3,3,3,3,2,3,3,2,1,3
194,1,19,2,3,2,2,2,2,3,2,4,3,3,2,3,2,3,2,3,3,2,2,3,3,2,1,3,3,2,2,1,3,3,2,1,3,3,1,1,3,2,3,2,4,1,1,2,2,2,1,1,2,3,3,1,3,2,4,3,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
195,0,18,1,1,4,4,4,2,4,2,4,4,4,2,1,3,4,4,4,4,3,4,3,3,2,2,3,4,3,3,3,3,3,2,2,3,3,2,2,3,2,3,3,3,2,1,3,3,2,2,1,3,4,4,1,4,3,4,4,4,1,4,3,3,2,2,3,3,2,2,2,3,4,2,1,4,4,1,2,3,3,3,3,3,2,1,2,3,1,2,2,2,4,4,3,4,3,2,4,4,2,4
196,1,NA,1,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,3,3,2,1,1,1,4,2,2,NA,3,3,1,1,3,2,3,3,1,3,1,1,1,2,1,1,1,3,3,4,1,2,4,4,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,1,NA,1,4,4,4,4,1,4,3,4,3,3,2,2,2,2,3,3,2,2,2,2,3,4,2,3,2,2,4,3,3,4,4,2,3,4,1,2,3,3,3,4,4,1,1,1,1,1,1,1,3,4,1,1,3,3,4,2,3,4,3,2,2,1,3,2,2,2,1,1,2,3,4,1,3,3,1,4,3,3,3,3,4,1,1,1,1,1,1,3,4,3,3,1,4,2,4,2,2,3,3
200,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,1,NA,1,4,4,4,4,2,3,3,4,3,4,3,2,3,3,2,4,4,4,4,3,1,2,1,3,3,1,1,2,3,3,1,1,3,3,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,3,3,1,3,1,4,4,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,1,19,2,4,4,4,4,1,4,2,4,3,3,2,3,3,3,4,4,4,2,3,3,3,3,4,3,4,4,3,3,3,4,4,2,3,3,3,4,3,4,3,3,4,2,1,1,2,1,1,1,4,4,4,1,4,3,3,4,4,2,3,3,3,2,4,3,4,2,2,2,3,3,3,2,3,3,3,3,3,3,3,3,4,2,1,1,3,3,1,1,4,4,4,3,4,3,4,4,3,2,3
203,1,18,2,1,1,1,1,4,4,3,2,4,4,2,4,2,3,4,4,3,2,4,3,3,2,1,3,4,1,1,1,3,3,2,1,4,3,1,1,3,1,3,2,4,1,1,1,3,1,1,1,3,3,3,2,3,1,3,2,2,1,3,3,3,1,2,3,4,1,1,1,2,4,2,1,3,3,1,2,3,2,2,1,2,1,1,1,1,2,1,1,1,2,3,2,2,1,4,2,3,1,2
204,0,18,1,4,4,4,3,4,3,4,4,4,4,3,4,4,4,4,3,3,3,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,4,1,1,1,2,1,1,2,2,1,4,2,1,1,1,2,2,1,1,2,3,2,2,1,1,3,2,1,2,3,1,2,2,2,2,3,3,3,1,1,4,1,2,1,2,2,2,2,2,3,2,2,3,1,2
205,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,0,18,2,4,4,4,3,2,3,2,4,4,3,2,4,4,4,3,4,4,3,3,2,3,1,2,3,3,1,1,2,2,2,1,1,1,1,1,1,2,1,1,2,3,1,1,1,1,1,1,1,2,2,1,1,2,1,3,1,2,1,3,1,2,1,2,3,3,1,1,1,2,3,3,1,2,3,1,1,3,2,2,2,3,2,1,2,2,1,1,1,1,2,2,1,3,1,4,2,3,1,3
207,1,19,2,3,3,3,3,3,3,2,3,3,3,2,2,1,3,2,3,4,2,3,3,3,2,2,3,3,1,1,1,3,3,1,1,4,3,1,1,3,1,3,1,4,1,2,3,1,1,1,1,1,2,2,1,3,1,4,4,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,3,2,2,1,1,1,1,2,2,1,4,1,4,4,3,1,2
208,0,18,1,4,4,4,4,1,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,3,1,4,4,4,1,2,2,4,2,4,1,4,4,2,4,4,4,4,4,4,4,4,1,1,1,4,1,4,4,3,1,4,3,4,2,3,1,4,3,3,1,3,4,4,2,2,2,4,4,4,1,4,4,2,2,4,4,4,4,4,4,4,1,1,1,4,1,4,4,2,3,4,3,4,3,4,1,4
209,0,19,2,3,4,3,3,2,3,3,4,3,3,3,3,2,3,4,3,2,3,2,2,2,2,1,3,3,1,1,1,1,1,2,1,3,3,1,1,1,1,1,1,3,1,4,3,3,1,1,1,4,3,3,2,3,1,4,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,1,NA,1,4,1,4,4,2,3,4,4,4,4,4,4,4,4,4,4,4,3,4,1,1,1,1,1,3,1,1,1,2,1,1,1,4,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,4,4,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,1,19,3,3,4,3,3,2,2,2,4,2,3,2,3,3,3,3,3,3,3,3,1,2,4,1,1,3,1,1,1,2,3,1,1,4,4,1,1,2,1,2,2,3,1,4,2,2,1,1,1,2,3,3,1,4,1,3,3,3,1,3,1,1,3,2,3,3,1,1,1,3,3,1,1,4,4,1,1,2,1,2,3,4,1,3,2,2,1,1,1,2,3,2,1,3,1,3,3,3,1,3
212,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,3,2,2,3,1,2,2,3,1,3,2,1,3,3,1,2,1,4,1,1,1,1,1,1,2,3,3,2,2,1,3,2,1,1,1,1
214,0,19,3,4,4,3,4,2,3,3,4,3,4,3,2,3,3,3,4,2,3,3,1,3,1,2,3,3,1,1,1,3,3,2,1,4,3,1,1,2,2,1,2,3,1,1,2,2,1,2,1,3,1,2,1,3,1,3,4,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
